Symbol,Company Name,Sector,Industry,Country,Region,Zip Code
RVSB,"Riverview Bancorp, Inc.",Financial Services,Banksâ€”Regional,United States,WA,98660
RXRX,"Recursion Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,UT,84101
RXST,"RxSight, Inc.",Healthcare,Medical Devices,United States,CA,92656
RYTM,"Rhythm Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,MA,2116
RXT,"Rackspace Technology, Inc.",Technology,Softwareâ€”Infrastructure,United States,TX,78218
SABS,"SAB Biotherapeutics, Inc.",Healthcare,Biotechnology,United States,FL,33140
SABSW,"SAB Biotherapeutics, Inc.",Healthcare,Biotechnology,United States,FL,33140
RZLT,"Rezolute, Inc.",Healthcare,Biotechnology,United States,CA,94065
SAFT,"Safety Insurance Group, Inc.",Financial Services,Insuranceâ€”Property & Casualty,United States,MA,2110
SABR,Sabre Corporation,Technology,Softwareâ€”Infrastructure,United States,TX,76092
SAGE,"Sage Therapeutics, Inc.",Healthcare,Biotechnology,United States,MA,2142
SAMG,Silvercrest Asset Management Group Inc.,Financial Services,Asset Management,United States,NY,10019
SAIC,Science Applications International Corporation,Technology,Information Technology Services,United States,VA,20190
SAIA,"Saia, Inc.",Industrials,Trucking,United States,GA,30097
SANG,Sangoma Technologies Corporation,Technology,Softwareâ€”Infrastructure,Canada,ON,L3R 9R6
SANA,"Sana Biotechnology, Inc.",Healthcare,Biotechnology,United States,WA,98102
SANM,Sanmina Corporation,Technology,Electronic Components,United States,CA,95134
SASR,"Sandy Spring Bancorp, Inc.",Financial Services,Banksâ€”Regional,United States,MD,20832
SANW,S&W Seed Company,Consumer Defensive,Farm Products,United States,CO,80501-6085
SBCF,Seacoast Banking Corporation of Florida,Financial Services,Banksâ€”Regional,United States,FL,34994
SAVA,"Cassava Sciences, Inc.",Healthcare,Biotechnology,United States,TX,78731
SBAC,SBA Communications Corporation,Real Estate,REITâ€”Specialty,United States,FL,33487-1307
SATS,EchoStar Corporation,Technology,Communication Equipment,United States,CO,80112
SBET,"SharpLink Gaming, Inc.",Consumer Cyclical,Gambling,United States,MN,55401
SBFM,"Sunshine Biopharma, Inc.",Healthcare,Drug Manufacturersâ€”Specialty & Generic,United States,FL,33301
SBRA,"Sabra Health Care REIT, Inc.",Real Estate,REITâ€”Healthcare Facilities,United States,CA,92782-0539
SBGI,"Sinclair, Inc.",Communication Services,Broadcasting,United States,MD,21030
SBFMW,"Sunshine Biopharma, Inc.",Healthcare,Drug Manufacturersâ€”Specialty & Generic,United States,FL,33301
SBFG,"SB Financial Group, Inc.",Financial Services,Banksâ€”Regional,United States,OH,43512
SBT,"Sterling Bancorp, Inc. (Southfield, MI)",Financial Services,Banksâ€”Regional,United States,MI,48076
SBSI,"Southside Bancshares, Inc.",Financial Services,Banksâ€”Regional,United States,TX,75701
SCHL,Scholastic Corporation,Communication Services,Publishing,United States,NY,10012
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,United States,WA,98134
SCKT,"Socket Mobile, Inc.",Technology,Computer Hardware,United States,CA,94538
SCVL,"Shoe Carnival, Inc.",Consumer Cyclical,Apparel Retail,United States,IN,47715
SCPH,scPharmaceuticals Inc.,Healthcare,Biotechnology,United States,MA,1803
SCSC,"ScanSource, Inc.",Technology,Electronics & Computer Distribution,United States,SC,29615
SCOR,"comScore, Inc.",Communication Services,Internet Content & Information,United States,VA,20190
SCWX,SecureWorks Corp.,Technology,Softwareâ€”Infrastructure,United States,GA,30328
SCYX,"SCYNEXIS, Inc.",Healthcare,Drug Manufacturersâ€”Specialty & Generic,United States,NJ,07302-6548
SCLXW,Scilex Holding Company,Healthcare,Drug Manufacturersâ€”General,United States,CA,94303
SCLX,Scilex Holding Company,Healthcare,Drug Manufacturersâ€”General,United States,CA,94303
SCWO,374Water Inc.,Industrials,Pollution & Treatment Controls,United States,NC,27701
